Operador;Pais
Transbrasil;Brasil
Varig;Brasil
VASP;Brasil
VASP / Private;Brasil
Viacao Aerea Gaucha S.A.;Brasil
VIARCO;Brasil
Military - Brazilian Air Force;Brazil
REAL;Brazil
Balair;Bulgaria
Bulair TABSO;Bulgaria
Galaxy Kavatsi Airlines;Bulgaria
Military - Bulgarian;Bulgaria
TABSO;Bulgaria
Talia Airways;Bulgaria
Transportno Aviatsionno Bulgaro-Soviet Obshchestvo;Bulgaria y Union Sovietica
Cabo Verde Airlines;Cabo Verde
TACV-Cabo Verde Airlines;Cabo Verde
Cambodia Air;Camboya
Air Cameroon;Camerun
Cameroon Airlines;Camerun
Air Canada;Canada
Air Manitoba;Canada
Air North;Canada
Air Ontario;Canada
Air Saint Maurice Inc.;Canada
Air Satellite;Canada
Air Taroma;Canada
Air Taxi - National Helicopters;Canada
Air Transat;Canada
Air West;Canada
Arctic Sunwest Charters;Canada
Austin Airways;Canada
Avion Airways;Canada
Bay of Plenty Airways;Canada
Bazair;Canada
Blue Bird Air Service;Canada
Bodensee Aerolloyd;Canada
Bombardier Aerospace;Canada
British Columbia Airways;Canada
Buffalo Narrows Airways;Canada
Canadian Colonial Airways;Canada
Canadian Pacific Air Lines;Canada
Canair Cargo;Canada
Central Mountain Air Services;Canada
Curtiss-Reid Flying Services Ltd. (Canada);Canada
First Air;Canada
Goose Bay Air Services;Canada
Harbour Air;Canada
Harbour Air Seaplanes Ltd.;Canada
Inuvik Coastal Airways;Canada
Kelowna Flightcraft Air Charter;Canada
Labradore Airways;Canada
Lambair;Canada
Laurentian Air Services;Canada
Liard Air;Canada
Marine Airways;Canada
Maritime Central Airways;Canada
Marquise Aviation Corp.;Canada
Mattagami Skyways;Canada
Mililtary - Royal Canadian Air Force;Canada
Military - Royal Canadian Air Force;Canada
Nahanni Air Services;Canada
Nordair;Canada
North Canada Air;Canada
North Western Air Transport;Canada
Northern Thunderbird Air Inc.;Canada
Northern Thunderbird Air Ltd.;Canada
Okanagan Helicopters;Canada
Ontario Hydro;Canada
Ornge Air Ambulance;Canada
Pacific Air;Canada
Pacific Coastal Airlines;Canada
Pacific Western;Canada
Pacific Western Airlines;Canada
Perimeter Airlines;Canada
Petroleum Helicopter;Canada
Petrolium Helicopter;Canada
Petrolium Helo Inc.;Canada
Points North Air Services;Canada
Private - de Havilland Aircraft;Canada
Propair;Canada
Provincial Airlines;Canada
Ptarmigan Airways;Canada
Quebecair;Canada
Queen Charlotte Airlines;Canada
Regina Cargo Airlines;Canada
Rimouski Airlines;Canada
Rousseau Aviation;Canada
Saint Lawrence Airways;Canada
Saskatchewan Government Northern Air Operations;Canada
Seair Seaplanes;Canada
Service Air;Canada
Sowind Air;Canada
Spartan Air Services;Canada
Starair;Canada
Strait Air;Canada
Summit Air;Canada
Summit Air Charters;Canada
Superior Aviation;Canada
Survair;Canada
Tadair;Canada
Trans Air Cargo;Canada
Trans Air Services;Canada
Trans Australia Airlines;Canada
Trans Canada Air Lines;Canada
Trans-Canada Air Lines;Canada
Victoria Air;Canada
Wasaya Airways;Canada
West Coast Air;Canada
West Wind Aviation;Canada
Western Canada Airways;Canada
Wheeler Airlines;Canada
Winship Air;Canada
West Caribbean Airways;Caribe Occidental
Military - Centrafricain Airlines;Central African Republic
Military - Chadian Air Force;Chad
Ceskoslovenske Aerolinie;Checoslovaquia
Spencer Airways / Ceskoslovenske Aerolinie;Checoslovaquia
Aero Sudpacifico;Chile
Aeronor Chile;Chile
Chilean Air Force;Chile
Fuerzs Aerea De Chile;Chile
Ladeco;Chile
LAN;Chile
Lan Chile;Chile
Military - Chilean Air Force;Chile
SAESA;Chile
Air China;China
CAAC;China
Capital Airlines;China
China Eastern Airlines;China
China Flying Dragon Aviation (Feilong Airlines);China
China General Aviation Corporation;China
