Operador;Pais
Purdue Airlines Inc.;Estados Unidos
Rainbow King Lodge;Estados Unidos
Rapid Air Transport;Estados Unidos
REAL / Military - U.S. Navy;Estados Unidos
Rediske Air;Estados Unidos
Reeder Flying Service;Estados Unidos
Reeve Aleutian Airlines;Estados Unidos
Reeve Aleutian Airways;Estados Unidos
Resort Airlines;Estados Unidos
Reynolds Airways;Estados Unidos
Richmor Aviation;Estados Unidos
Riddle Airlines;Estados Unidos
Robinson Airlines;Estados Unidos
Rocky Mountain Airways;Estados Unidos
Rotor Airs Inc - Air Taxi;Estados Unidos
Rotorcraft Leasing Co;Estados Unidos
RRC Air Service;Estados Unidos
Rubner Flying Service;Estados Unidos
Rusts Flying Service Inc.;Estados Unidos
Ryan Air Services;Estados Unidos
Ryan Blake Air Charter;Estados Unidos
Ryan International Airlines;Estados Unidos
Saturn Airways;Estados Unidos
Savannair;Estados Unidos
Scenic Air Lines;Estados Unidos
Scenic Air Tours;Estados Unidos
Scenic Airlines;Estados Unidos
Sea Airmotive;Estados Unidos
Seattle Air Charter;Estados Unidos
SeaWind Aviation;Estados Unidos
Security Air;Estados Unidos
Shelter Cove Sea Park;Estados Unidos
Sierra Pacific Airlines;Estados Unidos
Simmons Airlines;Estados Unidos
Sky Executive Air Services;Estados Unidos
Skycraft Air Transport;Estados Unidos
Skyline Airways;Estados Unidos
Skyline Transportation Company;Estados Unidos
Skyward International Aviation;Estados Unidos
Skywest Airlines / Private.;Estados Unidos
Slick Airways;Estados Unidos
Slick Airways - Cargo;Estados Unidos
Smoky Mountain Helicopters;Estados Unidos
Snow Valley Ski Lines;Estados Unidos
Soldotna Air Services;Estados Unidos
Soloy Helicopters;Estados Unidos
South Central Airlines;Estados Unidos
South Pacific Island Airways;Estados Unidos
South West Aviaiton;Estados Unidos
Southcentral Air;Estados Unidos
Southeast Airlines;Estados Unidos
Southern Air Transport;Estados Unidos
Southern Airways;Estados Unidos
Southwest Air;Estados Unidos
Southwest Airlift;Estados Unidos
Southwest Airlines;Estados Unidos
Southwest Airways;Estados Unidos
Spokane Airways;Estados Unidos
STAAP;Estados Unidos
Standard Airlines;Estados Unidos
Starwood Management LLC;Estados Unidos
STASA;Estados Unidos
Strato Freight;Estados Unidos
Stratofreight;Estados Unidos
Sunbeam Air Transport Co.;Estados Unidos
Sundance Helicopters;Estados Unidos
Sundance Helicopters Inc.;Estados Unidos
Sunflower Airlines;Estados Unidos
Swift Aire Lines Inc.;Estados Unidos
T & G Aviation;Estados Unidos
TAO;Estados Unidos
Taquan Air Service;Estados Unidos
Team Air;Estados Unidos
Temesco Helicopter - Air Taxi;Estados Unidos
Temsco Airlines;Estados Unidos
Temsco Helicopter - Air Taxi;Estados Unidos
Tepper Aviation;Estados Unidos
Toa Domestic Airline (Japan);Estados Unidos
Total  Air Lines;Estados Unidos
Trans Caribbean Airways;Estados Unidos
Trans Colorado AL / Continental Express;Estados Unidos
Trans Continental Air Transport;Estados Unidos
Trans Guyana Airways;Estados Unidos
Trans Service Airlift;Estados Unidos
Trans World Airlines;Estados Unidos
Trans World Airlines / Castleton Inc.;Estados Unidos
Trans World Airlines / Eastern Air Lines;Estados Unidos
Trans World Airlines / Private;Estados Unidos
Transamerica Airlines;Estados Unidos
Transamerican Air Transport;Estados Unidos
Transamerican Airlines;Estados Unidos
Transcontinental;Estados Unidos
Transcontinental &Western Air;Estados Unidos
Transmeridian Air Cargo;Estados Unidos
Transocean Air Lines;Estados Unidos
TriCoastal Air;Estados Unidos
TVPX Aircraft Solutions;Estados Unidos
Tyee Airlines;Estados Unidos
U. S. Air Force;Estados Unidos
u.s. Air Force;Estados Unidos
U.S. Government (leased);Estados Unidos
U.S. Overseas Airways;Estados Unidos
United Air Lines;Estados Unidos
United Air Lines / Military - U.S. Air Force;Estados Unidos
United Air Lines / Trans World Airlines;Estados Unidos
United Express;Estados Unidos
United Express  / Private;Estados Unidos
United Parcel Service;Estados Unidos
United Parcel Service- UPS;Estados Unidos
Universal Airlines;Estados Unidos
Universal Airways;Estados Unidos
Universal Jet Aviation;Estados Unidos
University of Michigan Health System;Estados Unidos
US Aerial Mail Service;Estados Unidos
US Air Express/Air Midwest;Estados Unidos
US Airlines;Estados Unidos
US Airways;Estados Unidos
US Airways Express;Estados Unidos
USA Jet Airlines;Estados Unidos
USAir;Estados Unidos
USAir / Skywest Airlines;Estados Unidos
Valan International Cargo Charter;Estados Unidos
Valley Air Service;Estados Unidos
ValuJet;Estados Unidos
Vanair;Estados Unidos
Varney Air Lines;Estados Unidos
Varney Airlines;Estados Unidos
Viking Air Transport;Estados Unidos
Village Airways;Estados Unidos
VOTEC;Estados Unidos
VOTEC / VOTEC;Estados Unidos
Walcot Air Line;Estados Unidos
Webstas Aviation Services Inc.;Estados Unidos
Wedell-Williams Air Service Corporation;Estados Unidos
Wehite Cap Aviation;Estados Unidos
Wein Alaska Airlines Inc.;Estados Unidos
West Coast Airlines;Estados Unidos
Westair Transport;Estados Unidos
Western Air Express;Estados Unidos
Western Airlines;Estados Unidos
Western Helicopter;Estados Unidos
Western Straits Air;Estados Unidos
Wien;Estados Unidos
Wien Air Alaska;Estados Unidos
Wien Consolidated Airlines;Estados Unidos
Wiggins Airways;Estados Unidos
Wigmo;Estados Unidos
Win Win Aviation;Estados Unidos
Winchester Air;Estados Unidos
Winged Cargo Inc.;Estados Unidos
Wingfoot Air Express Goodyear Tire;Estados Unidos
Wings West Airlines / Private;Estados Unidos
World Airways;Estados Unidos
Wyoming Air Service;Estados Unidos
Zanex;Estados Unidos
Zantop Air Transport;Estados Unidos
Zantop International Airlines;Estados Unidos
Military - Ethiopian Air Force;Ethiopia
Ethiopian Airlines;Etiopia
Aerolift Philippines;Filipinas
Air Manila;Filipinas
Air Philippines;Filipinas
Asian Spirit;Filipinas
Aviation Development Corporation;Filipinas
Cebu Pacific Air;Filipinas
Fairways (Filipinas Orient Airways);Filipinas
Filipinas Orient Airways;Filipinas
Interisland Airlines;Filipinas
Kalinga Airlines;Filipinas
Laoag International Airlines;Filipinas
Lionair;Filipinas
Mabuhay Airways;Filipinas
MATS - Manila Aero Transport System;Filipinas
Miami Aviaition/Air Manila;Filipinas
Pacific Airways;Filipinas
Philippine Aerotransport;Filipinas
Philippine Air Express;Filipinas
Philippine Air Force;Filipinas
Philippine Air Lines;Filipinas
Renan Airways;Filipinas
Military - Finish Air Force;Finland
Copterline;Finlandia
Finnair;Finlandia
Suomen Urheiluilmailijat;Finlandia
Wasa Wings;Finlandia
Air Fiji;Fiyi
Military - French Air Force;France
Military - French Naval Aviation;France
Military - French Navy;France
Aeropostale;Francia
Aeropostale - La Tecoere Company;Francia
Aigle Azur;Francia
Air Bleu;Francia
Air Caraibes;Francia
Air Flamence;Francia
Air France;Francia
Air Guadeloupe;Francia
Air Inter;Francia
Air Littoral;Francia
Air Nautic;Francia
Air Ocean;Francia
Air Orient;Francia
Air Outremer;Francia
Air Outre-Mer;Francia
Air Rouergue;Francia
Air Services;Francia
Air Union;Francia
Airbus Industrie;Francia
Amee de l'Air;Francia
Brit Air;Francia
Campagnie France Roumaine;Francia
CIDNA;Francia
Cie Air Transport;Francia
Cie des Messageries Aeriennes;Francia
Compagnie Air Transport;Francia
CTA Languedoc Roussillon;Francia
Grands Express Aeriens;Francia
Grands Express Aeriens (Air Union);Francia
Latecoere Airlines;Francia
L'Express Airlines;Francia
Lignes Aeriennes Latecoere;Francia
Norair;Francia
Regional Airlines;Francia
Regional Compagnie Aerienne Europeenne;Francia
Societe Aerienne du Littoral;Francia
Societe Alpes Provence;Francia
Societe France Hydro;Francia
Societe Indochinoise de Raviteillement;Francia
Societe Indochinoise de Transport Aeriens;Francia
Societe Transatlantique Aerienne;Francia
STAP;Francia
T.A. Intercontinentaux;Francia
T.A. Intercontinentaux (France);Francia
TPI International Airways;Francia
Transport Aerien Intercontinentaux (France);Francia
Transport Arien Transregional;Francia
Union Aeromaritime de Transport;Francia
Union des Transportes Aeriens;Francia
Air Affaires Gabon;Gabon
Gabon Express;Gabon
Georgian Air;Georgia
Military - Georgian Air Force;Georgia
Transair Georgia Airlines;Georgia
Military - Deutsche Luftwaffe;Germany
Military - German Air National Guard;Germany
Military - German Army;Germany
Military - German Navy;Germany
Military - Luftwaffe;Germany
Military - Luftwaffe / Military - USAF;Germany
Ghana Airlink;Ghana
Ghana Airways;Ghana
Aerotechnia;Grecia
Greek Government;Grecia
Military - Royal Hellenic Air Force;Grecia
Olympic Airways;Grecia
Olympic Aviation;Grecia
Military - Greek Air Force;Greece
Military - Greek Army;Greece
Military - Hellenic Air Force;Greece
Nuna Air;Groenlandia
Aerovias de Guatemala SA;Guatemala
Aviateca;Guatemala
Military - Guatemalan Air Force;Guatemala
TAG Airlines;Guatemala
Guernsey Airways;Guernsey
Air Guinee;Guinea
Guiena Airways;Guinea
Guinea Airways;Guinea
Guinea Airways Limited;Guinea
Union des Transports Aeriens de Guinee;Guinea
Ecuato Guineana de Aviacion;Guinea Ecuatorial
Air Bissau;Guinea-Bissau
Guyana Airways;Guyana
Trans Continental and Western Air;Guyana
Air Haiti International;Haiti
Hati Express;Haiti
Tropical Airways;Haiti
Military - Honduran Air Force;Honduras
Sahsa Airlines;Honduras
TAN Honduras;Honduras
Cathay Pacific Airways;Hong Kong
Farnair Hungary;Hungria
Magyar Legiforagalmi;Hungria
Malev Hungarian Airlines;Hungria
Air India;India
Air India Exppress;India
Air India Express;India
Belize Air International Ltd.;India
Indamer;India
Indian Air Force;India
Indian Airlines;India
Indian Airlines/Alliance Airlines;India
Indian National Airlines;India
Indian National Airways;India
Military - Indian Air Force;India
Military - Indian Navy;India
Military - Royal Indian Air Force;India
Necon Air;India
Pawan Hans Helicopters Ltd.;India
Royal Indian Air Force;India
Sahara;India
State Airlines;India
Vayudoot;India
Adam Air;Indonesia
Airfast Indonesia;Indonesia
Aviastar Mandiri;Indonesia
Avistar Mandari;Indonesia
BAL Bremerhaven Airline;Indonesia
Bourag Indonesia Airlines;Indonesia
Bouraq Indonesia Airlines;Indonesia
Garuda  Indonesia Airlines / Garuda Indonesia Airlines;Indonesia
Garuda Indonesia Airlines;Indonesia
Indonesian Air Force;Indonesia
Indonesian National Police;Indonesia
Indonesian Police;Indonesia
Lion Air;Indonesia
Mandala Airlines;Indonesia
Manunggal Air;Indonesia
Merpati Nasantara Airlines;Indonesia
Merpati Nusantara Airlines;Indonesia
Military - Indonesian Air Force;Indonesia
Military - Indonesian Army;Indonesia
Military - Tentara Nasional Indonesia Navy;Indonesia
Nusantara Buana Air;Indonesia
Pelita Air Service;Indonesia
Private - Airfast Indonesia;Indonesia
PT Air Regional;Indonesia
Sabang Merauke Raya Air Charter;Indonesia
Sabeni;Indonesia
Sempati Air;Indonesia
Sriwijaya Air;Indonesia
TanaMana Aviation;Indonesia
Trans Isle Air;Indonesia
Trans Luxury Airlines;Indonesia
Trans-Luxury Airlines;Indonesia
Trigana Air Service;Indonesia
Turuhan Avia;Indonesia
Iraqi Airways;Irak
Military - Imperial Iranian Air Force;Iran
Military - Iranian Air Force;Iran
Military - Iranian Revolutionary Guard Corps Air Force;Iran
Military - Islamic Republic of Iran Air Force;Iran
Military - Islamic Revolution's Guards Corps;Iran
Aria Airlines;Iran
Caspian Airlines;Iran
Faraz Qeshm Airlines;Iran
Iran Air;Iran
Iran Air Tours;Iran
Iran Air Tours  /  Military - Iranian Air Force;Iran
Iran Aseman Airlines;Iran
Iran Asseman Airlines;Iran
Kish Airlines;Iran
Komala Air;Iran
Parsa;Iran
Saha Air;Iran
Saha Airline Services;Iran
Sepahan Airlines;Iran
Aer Lingus;Irlanda
Aer Turas;Irlanda
Mercury Aviation;Irlanda
Avalki Air;Islandia
Flugefelag;Islandia
Icelandair;Islandia
Loftleidir Icelandic Airlines;Islandia
Mannin Airways;Islas del Canal
Trans Canada Air Lines / RCAF;Islas del Caribe
Atlantic Airways;Islas Feroe
Solomon Islands Airlines;Islas Salomon
Virgin Islands Airways;Islas Virgenes
El Al;Israel
Military - Israel  Air Force;Israel
Sarit Airlines;Israel
Vehu Akat;Israel
Aeralpi;Italia
Aero Transporti Italiani;Italia
Aeroespresso;Italia
AIDA;Italia
Ala Littoria;Italia
Ala Littoria SA;Italia
Alitalia;Italia
ATI;Italia
Caproni Company;Italia
Itavia;Italia
LATI;Italia
Linee Aeree Italiane;Italia
Macchi;Italia
Ocean Airlines;Italia
Pan International;Italia
Rinaldo Piaggio;Italia
Scarta;Italia
Societa Aerea Mediterranea;Italia
Societa Anonima Aero Expresso Italiana;Italia
Military - Corrieri Aerei Militari;Italy
Military - Israel Air Force;Italy
Military - Israel Air Force /Military -  Israel Air Force;Italy
Military - Italian Air Force;Italy
Fly Jamaica Airways;Jamaica
Jamair;Jamaica
Military - Japan Air Self Defense Force;Japan
Military - Japan Maritime Self Defense Force;Japan
Military - Japanese Air Self-Defence Force;Japan
Aero Asahi;Japon
All Nippon Airways;Japon
All Nippon Airways /  Japanese Air Force;Japon
Fujita Koku Kabushki Kai;Japon
Japan Air / Japan Flying School;Japon
Japan Air Lines;Japon
Japan Air Self-Defence Force;Japon
Japan Aviation Corporation;Japon
Japanese Air Force;Japon
President Airlines;Japon
Titan Airways;Japon
TMK Air Commuter;Japon
Air Jordan;Jordania
Alia Royal Jordanian Airlines;Jordania
Jordan International Airlines;Jordania
Military - Royal Jordanian Air Force;Jordania
ATI Aircompany;Kazajistan
Bearskin Airlines;Kazajistan
Aeroflot / Kazakhstan;Kazajstan
Safe Air Complany;Kazajstan
SCAT Air;Kazajstan
Military - Kazakhstan border guard service;Kazakhstan
Military - Kazakhstan Border Guards;Kazakhstan
Bimini Airways;Kenia
Fly 540;Kenia
Fly SAX;Kenia
Kenya Airways;Kenia
Malindi Air Services;Kenia
Safari Express Cargo;Kenia
Wilson Airways;Kenia
Military - Kenya Air Force;Kenya
Military - Kenyan Air Force;Kenya
Itek Air;Kirguistan
Kirghizia Aba Zaoldoru;Kirguistan
Kuwait Airways;Kuwait
Military - Kuwait Air Force;Kuwait
Air Laos;Laos
Lao Airlines;Laos
Lao Aviation;Laos
Lao Cathay Airlines;Laos
Laos Air;Laos
Laos Air Force;Laos
Military - Lao People's Liberation Army Air Force;Laos
Military - Royal Lao Air Force;Laos
Pathet Lao Airlines;Laos
Royal Air Lao;Laos
Royal Air Laos/PENAS;Laos
Sadai;Laos
Military - Royal Lesotho Defence Force;Lesoto
Lebanese International Airways;Libano
Middle East Airlines;Libano
Middle East Airlines / Military - Turkish Air ForceC-47;Libano
Trans Mediterranean Airways;Libano
Air Liberia;Liberia
Weasua Air Ttansport;Liberia
Aero Club Libya;Libia
Afriqiyah Airways;Libia
Libya Arab Airlines;Libia
Libya Arab Airlines / Military -  Libya Air Force;Libia
Libyan Air Cargo;Libia
Military - Lybian Arab Air Force;Libya
Cargolux;Luxemburgo
Luxair;Luxemburgo
Aviaimpex (Macedonia);Macedonia
Palair Macedonian;Macedonia
Air Madagascar;Madagascar
Military - Ariana Afghan Airlines;Madagascar
Military - Madagascar Air Force;Madagascar
AirAsia;Malasia
Borneo Airways;Malasia
Hornbill Airways;Malasia
Kavatshi Airlines;Malasia
Malaysia Airlines;Malasia
MALERT;Malasia
Malert Airlines;Malasia
MASwings;Malasia
Pan Malaysian Air Transport;Malasia
Sabah Air;Malasia
Shangri La Air;Malasia
Sky Cabs;Malasia
Air Malawi;Malawi
Military - Malaysian Air Force;Malaysia
Malu Aviation;Maldivas
Air Mali;Mali
Air  Mali;Mali
Volare Aviation Enterprise;Malta
Air Atlas;Marruecos
Military - Royal Moroccan Air Force;Marruecos
Royal Air Maroc;Marruecos
Air Martinique;Martinica
Air Mauritanie;Mauritania
Military - Mauritanian Air Force;Mauritania
Military - Mexican Air Force;Mexico
Aereo el Venado;Mexico
Aero Cozumel;Mexico
Aero Ejecutivos;Mexico
Aero Ferinco Charter;Mexico
Aero Transportes;Mexico
Aerocalifornia;Mexico
Aerocaribe;Mexico
Aerolatino (Aerocaribe);Mexico
Aerolineas Cuahonte;Mexico
Aerolineas Nacionales;Mexico
Aerolineas TAO;Mexico
Aeromexico;Mexico
Aeromexico / Private;Mexico
Aeronaves de Mexico;Mexico
Aeroservicios;Mexico
Aeroservicios Empresariales de Durango;Mexico
Aerotransportes Petroleros;Mexico
Aerovias Contreras;Mexico
Aerovias del Norte;Mexico
Aerovias del Valle;Mexico
Aerovias Guest;Mexico
Aerovias Halcon;Mexico
Aerovias Rojas;Mexico
Aerovias Urraca;Mexico
ALFA;Mexico
Avicsa;Mexico
Communicaciones Aereos de veracruz;Mexico
Compania Mexicana de Aviacion;Mexico
Fuerza Aerea Mexicana;Mexico
Interamericana de Aviacion;Mexico
Intercontinental de Aviacion;Mexico
Lineas Areas del Centro;Mexico
Lineas Areas Unidas;Mexico
MAP;Mexico
Metro Cargo;Mexico
Mexicana;Mexico
Procuradoria General de la Republica;Mexico
SEMAF;Mexico
Servicios Aereos Martinez Leon;Mexico
Servicios Aereos Santa Ana;Mexico
Servicios Americanos;Mexico
Syndicato Condor;Mexico
TABA;Mexico
TAESA;Mexico
TAUSA;Mexico
Thai International;Mexico
Transaereo 5074;Mexico
Transporte Aereo Federal;Mexico
Transported Areos Profesionales - TAPSA;Mexico
Transportes Aereos Don Carlos - Charter;Mexico
Transportes Aereos Mexicanos;Mexico
Transportes Aereos Nacionales;Mexico
Transportes Aereos Pegaso;Mexico
Transportes Areos Nacionales;Mexico
Moldovan Aeriantur-M Air Cargo;Moldavia
Sun Way;Moldavia
MIAT - Mongolian Airlines;Mongolia
Mongolian Defense Ministry;Mongolia
Fly Montserrat;Montserrat
Government of Mozambique;Mozambique
Military - Mozambique Air Force;Mozambique
Mozambique Airline;Mozambique
Air Bagan;Myanmar
Military - Burma Air Force;Myanmar
Military - Myanmar Air Force;Myanmar
Myanmar Airways;Myanmar
Agni Air;Nepal
Archana Airlines;Nepal
Buddha Air;Nepal
Kasthamandap Airlines;Nepal
Lumbini Airways;Nepal
Military - Royal Nepalese Air Force;Nepal
Nepal Airlines;Nepal
Royal Nepal Airlines;Nepal
Sita Air;Nepal
Tara Air;Nepal
Yeti Airlines;Nepal
Aeronica;Nicaragua
Lanica;Nicaragua
Military - Nicaraguan Air Force;Nicaragua
Military - Niger Air Force;Niger
ADC Airlines;Nigeria
Aerocontroctors - Charter;Nigeria
Allied Air;Nigeria
Baikal Air;Nigeria
Belgian International Air Services;Nigeria
EAS Airlines (Executive Airline Services);Nigeria
Hevlift;Nigeria
Military - Federal Nigerian Air Force;Nigeria
Military - Nigerian Air Force;Nigeria
Nationair (chartered by Nigeria Airways);Nigeria
Nigeria Airways;Nigeria
Okada Air;Nigeria
Pan African Airlines;Nigeria
Salair;Nigeria
Skypower Express Airways;Nigeria
Sosoliso Airlines;Nigeria
TARS;Nigeria
Military - Government of Macedonia;North Macedonia
Military - Macedonian Air Force;North Macedonia
Braathens;Noruega
CHC Helikopter Service;Noruega
DNL Norwegian Air Lines;Noruega
Fred Olsen Flyveselskap;Noruega
Helikopter Service;Noruega
Military - Royal Norwegian Air Force;Noruega
Norwegian Airlines;Noruega
Partnair;Noruega
Wideroe's Flyveselksap;Noruega
NewCal Aviation;Nueva Caledonia
Air Fiordland;Nueva Zelanda
Air Freight New Zealand;Nueva Zelanda
Air New Zealand;Nueva Zelanda
Airways;Nueva Zelanda
Airwork;Nueva Zelanda
Airwork NZ;Nueva Zelanda
Ansett New Zealand;Nueva Zelanda
Bashkirian Airlines / DHL Worldwide Express;Nueva Zelanda
Charter - Air Adventures New Zealand Ltd;Nueva Zelanda
Inter-Island;Nueva Zelanda
New Zealand National Airways;Nueva Zelanda
Sky Dive New Zealand;Nueva Zelanda
Southern Cross Airways;Nueva Zelanda
Union Airways;Nueva Zelanda
United Airways of New Zealand;Nueva Zelanda
Vincent Aviation;Nueva Zelanda
XL Airways leased from Air New Zealand;Nueva Zelanda
Aero Holland;Paises Bajos
By Air;Paises Bajos
KLM Cityhopper;Paises Bajos
KLM Royal Duch Airlines;Paises Bajos
KLM Royal Dutch Airlines;Paises Bajos
KNILM;Paises Bajos
Martinair Holland NV;Paises Bajos
Military - Royal Netherlands East Indies Air Force;Paises Bajos
Military - Royal Netherlands Naval Air Service;Paises Bajos
NLM (Nederlandse Luchtvaart Maatschappij);Paises Bajos
Military - Pakistan Air Force;Pakistan
Military - Pakistan Army;Pakistan
Airblue;Pakistan
Bellview Airlines;Pakistan
JS Air;Pakistan
Orient Air System and Integrated Services;Pakistan
Orient Airways;Pakistan
Pakair;Pakistan
Pakistan Airways;Pakistan
Pakistan International Airline;Pakistan
Pakistan International Airlines;Pakistan
PAS;Pakistan
Aeronaves de Panama;Panama
Aeroperlas;Panama
Alas Chiricanas;Panama
Cargo Three Panama;Panama
COPA (Panama);Panama
Inair Panama;Panama
Panama Airways;Panama
Air Niugini;Papua Nueva Guinea
Airline PNG;Papua Nueva Guinea
Airlines  PNG;Papua Nueva Guinea
Airlines of PNG;Papua Nueva Guinea
Ansett Airlines of Papua New Guinea;Papua Nueva Guinea
Garamut Aviation;Papua Nueva Guinea
Goroka Air Services;Papua Nueva Guinea
New Guinea Air Traders;Papua Nueva Guinea
Talair;Papua Nueva Guinea
Transniugini Airways;Papua Nueva Guinea
TAM Paraguay;Paraguay
Military - Fuerza Del Peru;Peru
Military - Peruvian Air Force;Peru
Military - Peruvian Air Force - TANS;Peru
Military - Peruvian Army Aviation;Peru
Aero Condor;Peru
Aero Peru;Peru
Aeronaves del Peru;Peru
Aeroperu;Peru
Compania de Aviacion Faucett SA (Peru);Peru
Faucett;Peru
HeliCusco;Peru
LANSA;Peru
Lineas Aereas Nacionales SA (Peru);Peru
Peruvian Naval Aviation;Peru
Rutas Internacionales Peruanes;Peru
TAM (Peru);Peru
TANS Airlines;Peru
TANS Peru;Peru
Transportes Aereos Peruanos;Peru
Military - Philippine Air Force;Philippines
Military - Polish Air Force;Poland
Air Moorea;Polinesia Francesa
Air Tahiti;Polinesia Francesa
LOT;Polonia
Lot Polish Airlines;Polonia
Aerocondor;Portugal
Air Luxor;Portugal
ARTOP Aerotopografica LDA;Portugal
Military - Portuguese Air Force;Portugal
SATA;Portugal
TAP (Air Portugal);Portugal
Prinair;Puerto Rico
Vieques Air Link;Puerto Rico
Air Ferry Ltd;Reino Unido
Aircraft Transport and Travel;Reino Unido
Allied Services Limited;Reino Unido
Atlantic Airlines;Reino Unido
Avient Aviation;Reino Unido
BHS - Brazilian Helicopter Service Air Taxi;Reino Unido
Blue Hawaiian Helicopters;Reino Unido
Boeing Aircraft Company;Reino Unido
Bond Air Services Ltd.;Reino Unido
Bond Offshore Helicopters;Reino Unido
Bristol Aeroplane Co.;Reino Unido
Bristop Aeroplane Company;Reino Unido
Bristow Helicopters;Reino Unido
Britannia Airways;Reino Unido
Britavia;Reino Unido
British Aircraft Corporation;Reino Unido
British Airtours;Reino Unido
British Airways;Reino Unido
British Airways Helicopters;Reino Unido
British American Air Services;Reino Unido
British Commonwealth Pacific Airlines;Reino Unido
British Eagle International Airlines;Reino Unido
British European Airways;Reino Unido
British European Airways / Military - British;Reino Unido
British European Airways / Military - Soviet Air Force;Reino Unido
British International Helicopters;Reino Unido
British Midland Airways;Reino Unido
British Overseas Airways;Reino Unido
British Overseas Airways /Qantas;Reino Unido
British South American Airways;Reino Unido
British United Airways;Reino Unido
British World Airways;Reino Unido
Caledonian Airways;Reino Unido
Channel Airways;Reino Unido
Channel Express;Reino Unido
Classic Wings;Reino Unido
Flightline;Reino Unido
Handley Page Transport;Reino Unido
Hargreaves Airways;Reino Unido
Hillman's Airways;Reino Unido
Hunting Air Travel;Reino Unido
Imperial Airways;Reino Unido
Independent Air Travel;Reino Unido
Invicta International Airlines (UK);Reino Unido
Jersey Airways;Reino Unido
Knight Air;Reino Unido
Lancashire Aircraft Corporation (Skyways);Reino Unido
Loganair;Reino Unido
Manx2;Reino Unido
Meteor Air;Reino Unido
Military - Royal Air Force;Reino Unido
Military - Royal Airship Works;Reino Unido
Military - Royal British Navy;Reino Unido
Military -Royal Air Force;Reino Unido
MK Airlines;Reino Unido
North Sea Aerial and General Transport;Reino Unido
Northern Executive Aviation;Reino Unido
Phoenix Aviation;Reino Unido
Plane Sailing;Reino Unido
Railway Air Service Ltd.;Reino Unido
Railway Air Services Ltd.;Reino Unido
Safe Air Cargo;Reino Unido
Scottish Airlines;Reino Unido
Silver City Airways;Reino Unido
Skyvan Airways;Reino Unido
Skyways of London;Reino Unido
SL Aviation Services;Reino Unido
Speed Service Couriers;Reino Unido
Tiramavia;Reino Unido
Trafik-Turist-Transportflyg;Reino Unido
Transair;Reino Unido
True Aviation Ltd.;Reino Unido
Wings Ltd;Reino Unido
CSA Czech Airlines;Republica Checa
Czech Airlines;Republica Checa
Africa One Congo;Republica del Congo
Air Congo;Republica del Congo
Air Congo (BIAS)?;Republica del Congo
Lina Congo;Republica del Congo
Tracep;Republica del Congo
Air Force of the Democratic Republic of the Congo;Republica Democratica del Congo
Air Kasai;Republica Democratica del Congo
Busy Bee Congo;Republica Democratica del Congo
Compagnie Africaine d' Aviation (CAA);Republica Democratica del Congo
Filair;Republica Democratica del Congo
Hewa Bora Airways;Republica Democratica del Congo
Kisangani Airlift;Republica Democratica del Congo
Sankuru Air Service;Republica Democratica del Congo
Scibe Airlift Cargo Zaire;Republica Democratica del Congo
Wimbi Dira Airways;Republica Democratica del Congo
Aero Tropical;Republica Dominicana
Alas Nacionales, leased from Birgen Air;Republica Dominicana
Compania Dominicana de Aviacion;Republica Dominicana
Lineas Aereas del Caribe;Republica Dominicana
Savanair;Republica Dominicana
Transportes Aereos del Caribe;Republica Dominicana
Air Rhodesia;Rhodesia
Rhodesian Air Services;Rodesia
RAM;Royal Air Maroc
Rwanda Government;Ruanda
Rwandair;Ruanda
Military - Romainian Air Force;Rumania
Romanian Banat Air;Rumania
Scoala Superioara de Aviatie Civla;Rumania
TAROM;Rumania
TAROM (Transporturile Aeriene Romane);Rumania
Transporturile Aeriene Romano-Sovietice;Rumania
Abakan Airlines;Rusia
Aerflot;Rusia
Aeroflot;Rusia
Aeroflot / Aeroflot;Rusia
Aeroflot / Military - Russian Air Force;Rusia
Aeroflot / Soviet Air Force;Rusia
Aeroflot /Military - Russian;Rusia
Aeroflot Russian International Airlines;Rusia
Aeroflot Russian International Airways;Rusia
Air Sirin;Rusia
AKF Polet;Rusia
Angara Airlines;Rusia
Aray-Avia;Rusia
Arsenyev Aviation Production Association;Rusia
Atran;Rusia
Azov Avia Airlines;Rusia
Bankair;Rusia
IrAvia;Rusia
Kalinin;Rusia
Kamchatavia;Rusia
Kamchatka Airlines;Rusia
Kamchatka Aviation Enterprise;Rusia
Katekavia Airline;Rusia
Khalatyrka;Rusia
Kogalmavia;Rusia
Komi Avia;Rusia
Kranoyarskie Vozhjushnye Trassy;Rusia
Krasnoyarsk Airlines;Rusia
Krasnoyarskie Avialinii;Rusia
Kuban Airlines;Rusia
Magistralnye Avialinii;Rusia
Military - Russian;Rusia
Military - Russian Air Force;Rusia
Military - Russian Air Force / Military - Russian Air Force;Rusia
Military - Russian Air Force/Uzbekistan Airways;Rusia
Military - Russian Army;Rusia
Military - Russian Navy;Rusia
Military - Russian, cargo;Rusia
Ministerstvo Obshchestvo Mashinostroyeniya;Rusia
Moskovia Airlines;Rusia
Norilsk Flight Company;Rusia
Northern Wings;Rusia
Permaviatrans;Rusia
Petropavlovsk-Kamchatsky Air Enteprise;Rusia
Polyarnya Aviatsiya;Rusia
Private - Kabanov - skydiving;Rusia
Pulkovo Airlines;Rusia
Pulkovo Aviation Enterprise;Rusia
Red Wings Airlines;Rusia
RusAir Airlines;Rusia
Russ Air Transport Company;Rusia
Russian Air Force;Rusia
